instance_name,stretch_index,lower_bound
jupiter/graph_652.txt,3,2
jupiter/graph_654.txt,3,3
jupiter/graph_660.txt,3,3
jupiter/graph_669.txt,3,3
jupiter/graph_671.txt,3,2
jupiter/graph_681.txt,3,2
jupiter/graph_685.txt,3,2
jupiter/graph_686.txt,3,2
jupiter/graph_689.txt,3,2
jupiter/graph_696.txt,3,2
jupiter/graph_708.txt,3,2
jupiter/graph_709.txt,3,3
jupiter/graph_712.txt,3,2
jupiter/graph_713.txt,3,3
jupiter/graph_715.txt,3,3
jupiter/graph_717.txt,3,3
jupiter/graph_718.txt,3,3
jupiter/graph_721.txt,3,2
jupiter/graph_728.txt,3,2
jupiter/graph_732.txt,2,2
jupiter/graph_738.txt,3,2
jupiter/graph_742.txt,3,2
jupiter/graph_752.txt,3,2
jupiter/graph_759.txt,3,2
jupiter/graph_763.txt,3,3
jupiter/graph_764.txt,3,3
jupiter/graph_765.txt,3,3
jupiter/graph_767.txt,3,3
jupiter/graph_772.txt,3,3
jupiter/graph_778.txt,3,2
jupiter/graph_783.txt,3,2
jupiter/graph_785.txt,3,2
jupiter/graph_792.txt,3,3
jupiter/graph_802.txt,3,3
jupiter/graph_804.txt,3,2
jupiter/graph_807.txt,3,2
jupiter/graph_811.txt,3,2
jupiter/graph_812.txt,3,2
jupiter/graph_814.txt,3,2
jupiter/graph_817.txt,3,2
jupiter/graph_819.txt,3,2
jupiter/graph_823.txt,4,2
jupiter/graph_828.txt,3,3
jupiter/graph_830.txt,3,2
jupiter/graph_834.txt,3,2
jupiter/graph_840.txt,3,3
jupiter/graph_848.txt,3,2
jupiter/graph_861.txt,3,3
jupiter/graph_863.txt,3,2
jupiter/graph_866.txt,3,3
jupiter/graph_875.txt,3,2
jupiter/graph_880.txt,3,2
jupiter/graph_885.txt,3,2
jupiter/graph_888.txt,3,2
jupiter/graph_890.txt,3,2
jupiter/graph_899.txt,3,2
jupiter/graph_901.txt,3,2
jupiter/graph_912.txt,3,2
jupiter/graph_920.txt,3,3
jupiter/graph_922.txt,3,2
jupiter/graph_923.txt,3,2
jupiter/graph_924.txt,3,2
jupiter/graph_926.txt,3,3
jupiter/graph_929.txt,3,2
jupiter/graph_933.txt,3,3
jupiter/graph_934.txt,3,2
jupiter/graph_935.txt,3,2
jupiter/graph_939.txt,2,2
jupiter/graph_940.txt,3,3
